UserName,Handle,Timestamp,Comments,Likes,Retweets,Text
"EggWithCharal
#México
VAMOS A RECUPERARTE",@EggWithCharal,2021-03-01T07:10:38.000Z,"Replying to 
@angelicavaleTiene propiedades, que las venda! Que vaya al #INSABI como cualquier mexicano! 

#YaChole con los que no se preparan para su vejez y de pilón quieren hospital privado 
 ..que lo ayude El KKs!",,,1
Ivo,@ivgse,2021-03-01T07:10:38.000Z,"@cepillintv
 que te ayude el pueblo bueno, el pueblo sabio, los únicos que si se preocupan por todos no como nosotros los neoliberales vende patrias.
Si pone 1 pesos cada chairo  serian 30 millones.
Veamos de qué están hechos. 1 solo peso ó tendrás que pisar el #INSABI",,,
presidentito #Golpista de #Culiacan,@mickym_69,2021-03-01T07:10:38.000Z,"Replying to 
@MemoVillarrealÁnimo en el #INSABI, atienden requeté bien...",,,
presidentito #Golpista de #Culiacan,@mickym_69,2021-03-01T07:10:38.000Z,"Replying to 
@MemoVillarrealInformación por favor para pasar a verlo
En qué #INSABI se atiende?",,,
Mario Ramiro ™,@Mario7O420022,2021-03-01T07:10:38.000Z,Aaaaa ahí van con su #INSABI cagan,,,
presidentito #Golpista de #Culiacan,@mickym_69,2021-03-01T07:10:38.000Z,"Replying to 
@LupitaJuarezH
 and 
@HLGatellHospitalizado, pero nadie dice en cuál
#INSABI ...",,,
Ciudad de la furia,@soulirristi,2021-03-01T07:10:38.000Z,"Replying to 
@lopezdorigaQue se atienda en el #INSABI  servicio médico de la 4t",,,
aprendiz d canalla,@betozurit,2021-03-01T07:10:38.000Z,"Replying to 
@MemoVillarrealJa ja ja . Ojalá confíe el el sistema de salud que tiene #amlo.  Y se vaya a un hospital del #INSABI",,,1
ALI PEREZ RODRIGUEZ,@JOAB_ALI,2021-03-01T07:10:38.000Z,"Replying to 
@MemoVillarrealQue se atienda en el #INSABI o no tiene confianza en el gobierno de 
@lopezobrador_",,,2
Charly,@carmedina,2021-03-01T07:10:38.000Z,"Replying to 
@CesarsEl
 and 
@EIJefeDiegoQue lo muevan al 
@Tu_IMSS
 o al #INSABI",,,1
Fran Garcia-Leal,@Fuco_gdl,2021-03-01T07:10:38.000Z,#insabi veo mucho resentimiento en México provocada por los políticos de este país estará cabron sanar eso,,,
Araceli Salcedo,@Aracelisalcedo,2021-03-01T07:10:38.000Z,"Replying to 
@angelicavaleAhí está el #INSABI segun el señor presidente (el cual Cepillín apoya arduamente)en todos los hospitales hay camas, médicos, medicinas!Le deseo pronta recuperación. Es hora de vivir en carne propia lo que viven MILLONES de mexicanos, gracias al apoyo que el y varios de dan al kks",,,1
Jorge Castañeda,@castaneda_jorge,2021-03-01T07:10:38.000Z,"Replying to 
@cepillintv
 and 
@lopezobrador_Ahora cepillín pide donativos por su hospitalización en un hospital privado, pudiendo usar el #INSABI promovido por su compa el #kks",,,2
Orlando Mora,@OrlandoMora_,2021-03-01T07:10:38.000Z,"Replying to 
@rosym_ssSi se tratara de una persona que no apaya al presidente ¿le donarías dinero, o le dirías que vaya al #INSABI?

Si fueran tiempos de Peña ¿le dirías que fuera al seguro popular?",1,,
Carlos Alberto,@CarlitosTAMP,2021-03-01T07:10:38.000Z,"Replying to 
@angelicavaleAhí ta el #INSABI",,,
Jorge Castañeda,@castaneda_jorge,2021-03-01T04:50:04.000Z,"Replying to 
@cepillintv
 and 
@lopezobrador_Ahora cepillín pide donativos por su hospitalización en un hospital privado, pudiendo usar el #INSABI promovido por su compa el #kks",,,2
Orlando Mora,@OrlandoMora_,2021-03-01T04:50:04.000Z,"Replying to 
@rosym_ssSi se tratara de una persona que no apaya al presidente ¿le donarías dinero, o le dirías que vaya al #INSABI?

Si fueran tiempos de Peña ¿le dirías que fuera al seguro popular?",1,,
Carlos Alberto,@CarlitosTAMP,2021-03-01T04:50:04.000Z,"Replying to 
@angelicavaleAhí ta el #INSABI",,,
Ricardo Vazquez,@Richie_vzq,2021-03-01T04:50:04.000Z,"Replying to 
@jenarovillamil
 and 
@HLGatellPero ocultan en que hospital está, de acuerdo al discurso de la 4t debería de estar en un centro del #INSABI 

#MorenaDestruyendoAMexico 
#MorenaLaPandemiaDeMexico
#GatoGatell",,1,1
Paco M,@paco_mcfly,2021-03-01T04:50:04.000Z,"Replying to 
@lopezdorigaCon 93%, a muchos no los recibieron en hospitales. Nunca entendí cómo funciona esto. Qué a tiempo crearon el #insabi.",,,
Sra. De la Sierra,@SraDelaSierra,2021-03-01T04:50:04.000Z,"#InsabiQuote Tweet
Ivy Gört
@ivgort
 · 3h
Replying to @angelicavale
En el INSABI puede recibir atención de primer mundo, como el de Dinamarca y sobre todo, gratis!!! Es un beneficio bien ganado por su voto! ",,,
Juanito Romero,@Juanito_Elbotas,2021-03-01T04:50:04.000Z,"Replying to 
@cepillintv
 @CepiJr
 and 2 othersSi no tienen para cubrir el hospital privado, Que se atienda en más clínicas del #INSABI como todos los demás mexicanos.",,,
Juanito Romero,@Juanito_Elbotas,2021-03-01T04:50:04.000Z,"Replying to 
@angelicavaleQue se atienda en el #INSABI",,,1
Isaack Vanlecks,@IsaackVanlecks,2021-03-01T04:50:04.000Z,"Replying to 
@angelicavaleNo, que valla al #INSABI que tanto apoya.",,,
Isaack Vanlecks,@IsaackVanlecks,2021-03-01T04:50:04.000Z,"Nel, que se valla al #INSABI ¿No estuvo defendiendo tanto lo que hacía el mesias bananero? ¿Ya se le acabó la gracia al populismo?Quote Tweet
Joaquín López-Dóriga
@lopezdoriga
 · 9h
Habilitan dos cuentas para pagar los gastos de hospitalización de Cepillín; permanece internado en una clínica del Estado de México 

http://bit.ly/3b02UR0",,1,
Jorge Gaona,@GorgeGaona,2021-03-01T04:50:04.000Z,"Replying to 
@lopezdorigaQue el señor al que admira y defiende le ofrezca el mismo tratamiento, la misma atención que recibió, o que lo mande al #INSABI ahí hay médicos y medicamentos para todos y no cuestan, no es necesario hacer colecta",,,
Bbsaurio,@FilioBernardo,2021-03-01T04:50:04.000Z,"Replying to 
@angelicavaleQue vaya al #INSABI",,,
"Príncipe de
®",@nobodies5,2021-03-01T04:50:04.000Z,"Pero entonces cómo? #Cepillín votó por el peje para estar mejor y ahora está suplicando ayuda a la población?
Que se vaya al #INSABI sistema de salud de primer mundo como Dinamarca.",,,1
Manuel Andrés (Parody).,@loqesobrador_,2021-03-01T04:50:04.000Z,"El verdadero #Tigre despierta.

#QueChingueSuMadreElPeje 
Yalitza
en #GoldenGlobes
No mmr
.

#LordDeudor es #ElCacas no ha cumplido lo que prometió.

López-Gatell no fué al #INSABI igual que Cepillín, #Hipócritas hdsrptm.

Loret o Brozo únicos.

#QueChingueAsuMadreElPeje Quote Tweet
Irving
@IrvingPineda
 · 7h
Pasajeros que viajaban en un vuelo comercial de #Guadalajara a Ciudad de México insultaron al presidente @lopezobrador_",,,
jc gh,@JcYenko,2021-03-01T04:50:04.000Z,"Ni los chairos quieren ir al #INSABI  , que no somos dinamarca ",,,
Instituto de Salud para el Bienestar,@INSABI_mx,2021-02-28T19:51:10.000Z,"Personal médico del #INSABI concluye apoyo #COVID en #CDMX Personal médico del INSABI concluye apoyo COVID en CDMX - Uno TV
Personal médico de Chiapas está en la recta final de su apoyo en el Hospital General de México. Apoyaron en atención COVID mediante el INSABI.
unotv.com",,10,22
Ana Figli,@burana2318,2021-02-28T19:51:10.000Z,"Replying to 
@Mike_OviedoPara muestra basta un botón. Este lo inauguraron con bombo y platillo: https://youtu.be/ipX0_3ZXkSw una cosa es q inauguren, y otra q sean funcionales. Ya ven cómo inauguró tmb Santa Necia. #LopezCorruptoInepto #LopezOdiaMexico #INSABI",2,4,3
Zona Franca Noticias,@ZonaFrancaMX,2021-02-28T19:51:10.000Z,"#SALUD
 | Cambio al #Insabi y #pandemia empeoró servicios de salud federales: #AdultosMayores.

#Entérate
 https://bit.ly/3b0tRE5",,,
xevt - xhvt,@xevtfm,2021-02-28T19:51:10.000Z,"#LoÚltimo “Están saliendo de #COVID el secretario de la Defensa, Luis Crescencio Sandoval, el secretario de la Marina, Rafael Ojeda y el del #INSABI, Juan Ferrer, los que distribuyen las vacunas”, dijo 
@lopezobrador_
  al desearles pronta recuperación",1,,
"LuisRG
KamaradaChavosky",@Luis90Rodrigu,2021-02-28T19:51:10.000Z,"Replying to 
@Alejand112178#LaTransformacionAvanza
#SecretariaDeSalud #Insabi
Con el programa de

#MejoramientoDeHospitales
#RescateDeHospitales
#ConstrucionDeNuevosHospitales",,,
"El
Historiador
Viviente
#RedAmlove",@Alejand112178,2021-02-28T19:51:10.000Z,"#LaTransformacionAvanza
#SecretariaDeSalud #Insabi
Con el programa de

#MejoramientoDeHospitales
#RescateDeHospitales
#ConstrucionDeNuevosHospitales1:31
504 views",2,16,16
"El
Historiador
Viviente
#RedAmlove",@Alejand112178,2021-02-28T19:51:10.000Z,"#LaTransformacionAvanza
#SecretariaDeSalud #Insabi
Con el programa de

#Mejoramiento
#RescateDeHospitales
#ConstrucionDeNuevosHospitales",1,5,1
"El
Historiador
Viviente
#RedAmlove",@Alejand112178,2021-02-28T19:51:10.000Z,"#LaTransformacionAvanza
#SecretariaDeSalud #Insabi
Con el programa de

#Mejoramiento
#RescateDeHospitales
#ConstrucionDeNuevosHospitales",1,3,3
"El
Historiador
Viviente
#RedAmlove",@Alejand112178,2021-02-28T19:51:10.000Z,"#LaTransformacionAvanza
#SecretariaDeSalud #Insabi
Con el programa de

#Mejoramiento
#RescateDeHospitales
#ConstrucionDeNuevosHospitales",1,2,
Instituto de Salud para el Bienestar,@INSABI_mx,2021-02-26T20:37:07.000Z,"En dos años hemos terminado 120 centros de salud y hospitales que estaban en proceso. Así me lo ha informado el #INSABI. El Hospital General de Querétaro es de los mejores. Lo hicimos 'al alimón' trabajando juntos para garantizar el derecho del pueblo a la salud 
@lopezobrador_",5,41,83
cesd,@ZibCesard,2021-02-26T20:37:07.000Z,"Replying to 
@lopezobrador_sabía UD que el personal de contrato insabi 40 Campeche no ha recibido salario desde hace 4 quincenas.?  
@JoseCardenas1
 @VILLALVAZO13
  @CiroGomezL
 #INSABI #secretariadesalud 
@SSalud_mx
 @INSABI_mx",,,
cesd,@ZibCesard,2021-02-26T20:37:07.000Z,"Replying to 
@lopezobrador_@lopezobrador_
 sabía UD que el personal de contrato insabi 40 no ha recibido salario desde hace 4 quincenas.?  
@JoseCardenas1
 @VILLALVAZO13
  @CiroGomezL
 #INSABI #secretariadesalud 
@SSalud_mx
 @INSABI_mx",,,
Marcela SaebLima,@MarcelaSaebL,2021-02-26T20:37:07.000Z, sin palabras ahora #INSABI,1,7,24
Mal bicho 2,@JuanSan49402504,2021-02-26T20:37:07.000Z,"#Insabi pregunten a 
@lopezobrador_
 para que les diga que datos poner ...#AmloMuestraTusDatos ...#100YSeVan",2,59,63
IMSS Jalisco,@imssjalcontigo,2021-02-26T20:37:07.000Z,"Por su desempeño profesional, en sesión del H. Consejo Técnico del #IMSS se anunció que el doctor Víctor Hugo Borja atenderá nuevas responsabilidades en el #INSABI.

Sigue la información completa: http://bit.ly/3bJvyoE",,2,7
oscar marin,@cartonistamarin,2021-02-26T20:37:07.000Z,"¿POR QUÉ? #2 | LA 4T HACE SUFRIR A LOS NIÑOS CON CÁNCER Y A SUS PAPÁS - ... https://youtu.be/8LT5m4lX6dU a través de 
@YouTube
 #AtypicalTeVe #NiñosConCáncer #Salud #La4T #ElCacas #AMLO #DesabastoDeMedicamentos #Oncológicos #cancerinfantil #IMSS #INSABI¿POR QUÉ? #2 | LA 4T HACE SUFRIR A LOS NIÑOS CON CÁNCER Y A SUS PAPÁS...
La vida de miles de niños con cáncer pende de un hilo por la falta de medicamentos oncológicos ocasionada por la ineficiencia del gobierno de Andrés Manuel L...
youtube.com",,1,1
El Politólogo,@elpolitologomx,2021-02-26T20:37:07.000Z," Las #PrimerasPlanas de este jueves #25DeFebrero 
 Red de contrabando
 #CabezadeVaca
      con el #Narco de 2004
 Reservas #CFE
 Pactan #Mexico y
      #Argentina
 Ventajas bajaron
      10% minoristas
 #INSABI y contratos 
      #COVID19
 #DíaNaranja
3/3",,,1
El Politólogo,@elpolitologomx,2021-02-26T20:37:07.000Z," Las #PrimerasPlanas de este jueves #25DeFebrero 
 Red de contrabando
 #CabezadeVaca
      con el #Narco de 2004
 Reservas #CFE
 Pactan #Mexico y
      #Argentina
 Ventajas bajaron
      10% minoristas
 #INSABI y contratos 
      #COVID19
 #DíaNaranja
2/3",1,,
El Politólogo,@elpolitologomx,2021-02-26T20:37:07.000Z," Las #PrimerasPlanas de este jueves #25DeFebrero 
 Red de contrabando
 #CabezadeVaca
      con el #Narco de 2004
 Reservas #CFE
 Pactan #Mexico y
      #Argentina
 Ventajas bajaron
      10% minoristas
 #INSABI y contratos 
      #COVID19
 #DíaNaranja
1/3",1,,1
Dr. Brandon García,@BrandoHGa,2021-02-24T00:53:26.000Z,"JAJAJAJAJ ME MAME PERO  OBVIO SI QUIERO MI BECA
#Subes #BecasBenitoJuarez
#Insabi",,,2
Reflexión 24 Info,@Reflexion24Info,2021-02-24T00:53:26.000Z,"TITULAR DEL #INSABI TAMBIÉN SE CONTAGIA DE #CORONAVIRUS
@lopezobrador_
  Manuel López Obrador #Covid19  #S#SARSCoV2 
@INSABI_mx
 

https://reflexion24informativo.com.mx/titular-del-insabi-tambien-se-contagia-de-coronavirus/…",,,
Mariel Ibarra F.,@Marielibarraf,2021-02-24T00:53:26.000Z,"¿Qué paso con el #INSABI? ¿Qué sistema de salud nos quedará después de que pase la pandemia? Este miércoles 5pm tendremos un panel de lujo para platicar sobre ello. ¡No se lo pierdan!Quote Tweet
Expansión Política
@ExpPolitica
 · Feb 23
#PolíticaYOtrosDatos: Y después de la pandemia, ¿qué sistema de salud tendremos? 

Participan: @baruchjdr, Miguel Betancourt Cravioto y @carovinales

Miércoles: 15:00 hrs
Conduce: @Marielibarraf 

FB: https://bit.ly/3aOp48Z",,1,2
quiero tv,@quierotv_gdl,2021-02-24T00:53:26.000Z,"Titulares de #Semar e #Insabi dan positivos a #Covid19. 
 http://bit.ly/3dNwbA6",,,
Periódico Ya Vas,@periodicoyavas,2021-02-24T00:53:26.000Z,"#Nacional 
Juan Antonio Ferrer, titular del Instituto de Salud para el Bienestar (#Insabi), dio a conocer que se contagio de Covid-19 y que presenta síntomas leves.Director del Insabi, Juan Ferrer, da positivo a Covid-19 - Ya Vas
Juan Antonio Ferrer, titular del Instituto de Salud para el Bienestar (Insabi), dio a conocer que se
yavas.mx",,,
NVnoticias,@NacionVeracruz,2021-02-24T00:53:26.000Z,"#Política 
Asegura que su estado de salud se mantiene estable, con “síntomas leves” y que seguirá el aislamiento recomendado por los servicios médicos.
#Insabi #Covid19Juan Antonio Ferrer, titular del Insabi da positivo a Covid-19
El titular del Instituto de Salud para el Bienestar (Insabi), Juan Antonio Ferrer, reveló dar positivo tras realizarse la prueba Covid-19. Asegura que su estado de salud se mantiene estable, con...
nvnoticias.mx",,,
Tv Azteca Jalisco,@TVAztecaJalisco,2021-02-24T00:53:26.000Z,"#NACIONAL Juan Ferrer, director del #Insabi, da positivo a la prueba de #Covid.Director del Insabi, Juan Ferrer, da positivo a Covid-19
El funcionario informó a través de su cuenta de Twitter que ha presentado síntomas leves y que se ha aislado como marca el protocolo.
tvazteca.com",,,1
El Siglo de Durango,@SigloDurango,2021-02-24T00:53:26.000Z,Titular del #Insabi da positivo a #COVID-19 https://elsiglodedurango.com.mx/2021/02/1289427.titular-del-insabi-da-positivo-a-covid-19.html…,,,
"RID Noticias
• Red de Información Digital",@RIDNoticias,2021-02-24T00:53:26.000Z," Titular del #Insabi, Juan Antonio Ferrer da positivo a #COVID19.
 El funcionario informó a través de redes sociales que permanecerá trabajando de manera remota, además señaló que los síntomas que presenta son leves.",,3,4
Diario de Chiapas,@DiarioChiapas,2021-02-23T15:20:15.000Z," #Nacional | El Almirante #Ojeda y el titular del #Insabi anuncian que dieron positivos a la prueba de COVID-19. #DiarioDeChiapasEl Almirante Ojeda y el titular del Insabi anuncian que dieron positivos a la prueba de COVID-19
El titular de la Marina, Rafael Ojeda, y el director del Insabi, Juan Antonio Ferrer, detallaron que continuarán con sus labores en aislamiento, luego de haber dado positivo a la COVID-19.
diariodechiapas.com",,,
Explicamos la tendencia,@explicamosTT,2021-02-23T15:20:15.000Z,"""Juan Antonio Ferrer""
#JuanAntonioFerrer, titular del Instituto de Salud para el Bienestar (INSABI), informó que dio positivo a la prueba de #COVIDー19, aseguró tener síntomas leves. 

#INSABI",,1,
